query_id,query,chunk_id,file_name,page,text,decision,evidence_quote,reason,reviewer,reviewer_kind
dev-001,Why is regularization used when training a model?,chunk_b4743bee460818e0c733d286aad33c3f076a0417a92d72d6f977345ed388b73f,02_mit_regularization_logistic_regression.pdf,7,"7 6.867 Machine learning, lecture 4 (Jaakkola)
our uncertainty about what the labels might be. So, when the number of training ex­
amples is small we would need to add the regularizer �θ�2/2 just as in the SVM model.
The regularizer helps select reasonable parameters when the available training data fails to
suﬃciently constrain the linear classiﬁer.
To estimate the parameters of the logistic regression model with regularization we would
minimize instead
n
1 � � � ��
2�θ�2 + C log 1 + exp −yt(θT xt + θ0) (25)
t=1
where the constant C again speciﬁes the trade-oﬀ between correct classiﬁcation (the ob­
jective) and the regularization penalty. The regularization problem is typically written
(equivalently) as
n
λ
2 �θ�2 +
�
log
�
1 + exp
�
−yt(θT xt + θ0)
��
(26)
t=1
since ",,,,,
dev-001,Why is regularization used when training a model?,chunk_b9284d28b2b4acc2c70eef6e34621726b2e75871dff9dea6d0b3c84317c9e94c,09_google_logistic_loss.txt,,"Logistic regression: Loss and regularization
Author: Google for Developers / Machine Learning Crash Course
Source: https://developers.google.com/machine-learning/crash-course/logistic-regression/loss-regularization
License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
Changes: HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.

Logistic regression
models are trained using the same process as
linear regression
models, with two key distinctions:

Logistic regression models use
Log Loss as the loss function
instead of squared loss.

Applying regularization
is critical to prevent
overfitting.

The following sections discuss these two considerations in more depth.

Log Loss

In the Linear regression module,
you used squared loss (also called
L2 loss) as the
loss function.
",,,,,
dev-001,Why is regularization used when training a model?,chunk_f083ac39fedd5236144258a3b90df296e5f24bdad753594ceb2610f6cdd754d6,19_google_l2_regularization.txt,,"'+ w_n^2}$$

For example, the following table shows the calculation of L2
regularization for a model with six weights:

Value Squared value
w1 0.2 0.04
w2 -0.5 0.25
w3 5.0 25.0
w4 -1.2 1.44
w5 0.3 0.09
w6 -0.1 0.01
26.83 = total

Notice that weights close to zero don't affect L2 regularization
much, but large weights can have a huge impact. For example, in the
preceding calculation:

A single weight (w3) contributes about 93% of the
total complexity.

The other five weights collectively contribute only about 7% of the
total complexity.

L2 regularization encourages weights toward 0, but never pushes
weights all the way to zero.

Regularization rate (lambda)

As noted, training attempts to minimize some combination of loss and complexity:

$$\text{minimize(loss",,,,,
dev-001,Why is regularization used when training a model?,chunk_baf408b3e1651fa0b1b79fa4b127f753d8b585462d5d3ba30be0e7ea047e9e62,02_mit_regularization_logistic_regression.pdf,1,"�
1 6.867 Machine learning, lecture 4 (Jaakkola)
The Support Vector Machine and regularization
We proposed a simple relaxed optimization problem for ﬁnding the maximum margin sep­
arator when some of the examples may be misclassiﬁed:
minimize 1
2�θ�2 + C
n�
ξt (1)
t=1
subject to yt(θT xt + θ0) ≥ 1 − ξt and ξt ≥ 0 for all t = 1, . . . , n (2)
where the remaining parameter C could be set by cross-validation, i.e., by minimizing the
leave-one-out cross-validation error.
The goal here is to brieﬂy understand the relaxed optimization problem from the point of
view of regularization. Regularization problems are typically formulated as optimization
problems involving the desired objective (classiﬁcation loss in our case) and a regularization
penalty. The regularization penalty is used to help stabilize the ",,,,,
dev-001,Why is regularization used when training a model?,chunk_1dda40c9d013b002ecdc20f69011760226b039ca8ee4a83521fdf13f09413c14,19_google_l2_regularization.txt,,";
a high regularization rate pushes weights towards zero.

If the regularization rate is high with respect to the learning rate,
the weak weights tend to produce a model that makes poor predictions.
Conversely, if the learning rate is high with respect to the regularization
rate, the strong weights tend to produce an overfit model.

Your goal is to find the equilibrium between learning rate and
regularization rate. This can be challenging. Worst of all, once you find
that elusive balance, you may have to ultimately change the learning rate.
And, when you change the learning rate, you'll again have to find the ideal
regularization rate.

Key terms:

Early stopping

L1 regularization

L2 regularization

Learning rate

Regularization

Regularization rate",,,,,
dev-001,Why is regularization used when training a model?,chunk_d6619e1e92d48eb34b864bca280c7977846841b812dc381bdb333be2f8819613,19_google_l2_regularization.txt,,"0, but never pushes
weights all the way to zero.

Regularization rate (lambda)

As noted, training attempts to minimize some combination of loss and complexity:

$$\text{minimize(loss} + \text{ complexity)}$$

Model developers tune the overall impact of complexity on model training
by multiplying its value by a scalar called the
regularization rate.
The Greek character lambda typically symbolizes the regularization rate.

That is, model developers aim to do the following:

$$\text{minimize(loss} + \lambda \text{ complexity)}$$

A high regularization rate:

Strengthens the influence of regularization, thereby reducing the chances of
overfitting.

Tends to produce a histogram of model weights having the following
characteristics:

a normal distribution

a mean weight of 0.

A low regularization rate:

Lowers the influence of regularization, thereby increasing the chances of
overfitting.

Tends to produce a histogram of model weights with ",,,,,
dev-001,Why is regularization used when training a model?,chunk_bb251f52ce6358f3f1c704bd21175ecfb65536599397f32e992e63149732e645,19_google_l2_regularization.txt,,"Overfitting: L2 regularization
Author: Google for Developers / Machine Learning Crash Course
Source: https://developers.google.com/machine-learning/crash-course/overfitting/regularization
License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
Changes: HTML lesson converted to UTF-8 TXT; navigation, multiple-choice quizzes, figures, captions, code blocks and generated key takeaways omitted; attribution header added.

L2 regularization
is a popular regularization metric, which uses the following formula:

$$L_2\text{ regularization } = {w_1^2 + w_2^2 + ... + w_n^2}$$

For example, the following table shows the calculation of L2
regularization for a model with six weights:

Value Squared value
w1 0.2 0.",,,,,
dev-001,Why is regularization used when training a model?,chunk_556ec26fcd954f62cf0390ca4f906fbcb9e4a8baa4369537993e2486f554036d,19_google_l2_regularization.txt,,"distribution

a mean weight of 0.

A low regularization rate:

Lowers the influence of regularization, thereby increasing the chances of
overfitting.

Tends to produce a histogram of model weights with a flat distribution.

For example, the histogram of model weights for a high regularization rate
might look as shown in Figure 18.

In contrast, a low regularization rate tends to yield a flatter histogram, as
shown in Figure 19.

Note: Setting the regularization rate to zero removes regularization completely.
In this case, training focuses exclusively on minimizing loss, which
poses the highest possible overfitting risk.

Picking the regularization rate

The ideal regularization rate produces a model that generalizes well to
new, previously unseen data.
Unfortunately, that ideal value is data-dependent,
so you must do some

tuning.

Early stopping: an alternative to complexity-based regularization

Early stopping is a
regularization method that doesn't involve a calculation of complexity.
Instead, ",,,,,
dev-001,Why is regularization used when training a model?,chunk_5d22b00eb80ca3acf11eb80186ee1ad9a85383947626b8c9f9455a298991a0c4,02_mit_regularization_logistic_regression.pdf,1,". Regularization problems are typically formulated as optimization
problems involving the desired objective (classiﬁcation loss in our case) and a regularization
penalty. The regularization penalty is used to help stabilize the minimization of the ob­
jective or infuse prior knowledge we might have about desirable solutions. Many machine
learning methods can be viewed as regularization methods in this manner. For later utility
we will cast SVM optimization problem as a regularization problem.
a)
−3 −2 −1 0 1 2 3
−1
−0.5
0
0.5
1
1.5
2
2.5
3 b)
−3 −2 −1 0 1 2 3
−1
−0.5
0
0.5
1
1.5
2
2.5
3
Figure 1: a) The hinge loss (1 − z)+ as a function of z. b) The logistic loss log[1 + exp(−z)]
as a function of z.
To turn ",,,,,
dev-001,Why is regularization used when training a model?,chunk_a1cf4f8238513884a5cff1ff27a9e9ca836a9eb850638391c4d8c29f14f07d35,19_google_l2_regularization.txt,,"'-dependent,
so you must do some

tuning.

Early stopping: an alternative to complexity-based regularization

Early stopping is a
regularization method that doesn't involve a calculation of complexity.
Instead, early stopping simply means ending training before the model
fully converges. For example, you end training when the loss curve
for the validation set starts to increase (slope becomes positive).

Although early stopping usually increases training loss, it can decrease
test loss.

Early stopping is a quick, but rarely optimal, form of regularization.
The resulting model is very unlikely to be as good as a model trained
thoroughly on the ideal regularization rate.

Finding equilibrium between learning rate and regularization rate

Learning rate and
regularization rate tend to move weights in opposite
directions. A high learning rate often pulls weights away from zero;
a high regularization rate pushes weights towards zero.

If the regularization rate is high with respect to the learning rate,
the weak weights tend to produce a model that makes poor predictions.
Conversely, ",,,,,
